yV,xV,fillV
C09J7,C09J7,0
C09J133,C09J7,243
A47L9,C09J7,0
C09J11,C09J7,149
G02B5,C09J7,84
C09J4,C09J7,108
G02F1,C09J7,71
G05D1,C09J7,0
B25J13,C09J7,0
B25J9,C09J7,0
C09J7,C09J133,243
C09J133,C09J133,0
A47L9,C09J133,0
C09J11,C09J133,104
G02B5,C09J133,78
C09J4,C09J133,66
G02F1,C09J133,71
G05D1,C09J133,0
B25J13,C09J133,0
B25J9,C09J133,0
C09J7,A47L9,0
C09J133,A47L9,0
A47L9,A47L9,0
C09J11,A47L9,0
G02B5,A47L9,0
C09J4,A47L9,0
G02F1,A47L9,0
G05D1,A47L9,89
B25J13,A47L9,94
B25J9,A47L9,63
C09J7,C09J11,149
C09J133,C09J11,104
A47L9,C09J11,0
C09J11,C09J11,0
G02B5,C09J11,50
C09J4,C09J11,62
G02F1,C09J11,29
G05D1,C09J11,0
B25J13,C09J11,0
B25J9,C09J11,0
C09J7,G02B5,84
C09J133,G02B5,78
A47L9,G02B5,0
C09J11,G02B5,50
G02B5,G02B5,0
C09J4,G02B5,46
G02F1,G02B5,92
G05D1,G02B5,0
B25J13,G02B5,0
B25J9,G02B5,0
C09J7,C09J4,108
C09J133,C09J4,66
A47L9,C09J4,0
C09J11,C09J4,62
G02B5,C09J4,46
C09J4,C09J4,0
G02F1,C09J4,30
G05D1,C09J4,0
B25J13,C09J4,0
B25J9,C09J4,0
C09J7,G02F1,71
C09J133,G02F1,71
A47L9,G02F1,0
C09J11,G02F1,29
G02B5,G02F1,92
C09J4,G02F1,30
G02F1,G02F1,0
G05D1,G02F1,0
B25J13,G02F1,0
B25J9,G02F1,0
C09J7,G05D1,0
C09J133,G05D1,0
A47L9,G05D1,89
C09J11,G05D1,0
G02B5,G05D1,0
C09J4,G05D1,0
G02F1,G05D1,0
G05D1,G05D1,0
B25J13,G05D1,61
B25J9,G05D1,33
C09J7,B25J13,0
C09J133,B25J13,0
A47L9,B25J13,94
C09J11,B25J13,0
G02B5,B25J13,0
C09J4,B25J13,0
G02F1,B25J13,0
G05D1,B25J13,61
B25J13,B25J13,0
B25J9,B25J13,37
C09J7,B25J9,0
C09J133,B25J9,0
A47L9,B25J9,63
C09J11,B25J9,0
G02B5,B25J9,0
C09J4,B25J9,0
G02F1,B25J9,0
G05D1,B25J9,33
B25J13,B25J9,37
B25J9,B25J9,0
